Continente/Grupo/ Bloco Econômico;Volume sacas 60 Kg;Receita Cambial US$ FOB mi;Participação (%);"Variação (%) em comparação ao mesmo
período de 2020"
Europa;26.528.972;6621,8;52,6%;40,6%
América do Norte;10.680.799;2650,1;21,2%;46,2%
Ásia;9.796.254;2413,5;19,4%;11,4%
América do Sul;1.731.583;411,8;3,4%;-32,7%
África;1.009.128;235,7;2,0%;16,1%
Oceania;517.025;144,9;1,0%;5,2%
América Central;179.276;36,8;0,4%;-48,5%
União Européia;23.611.943;5895,0;46,8%;42,8%
TPP;6.856.692;1673,9;13,6%;37,0%
Oriente Médio;3.266.326;820,0;6,5%;22,1%
BRICS;2.798.455;677,9;5,5%;19,9%
Países Árabes;2.375.311;583,7;4,7%;31,5%
Leste Europeu;2.041.570;504,3;4,0%;74,7%
Mercosul;659.657;174,0;1,3%;-18,4%
Países Importadores;46.321.256;11.609,1;91,8%;28,4%
Mercados Tradicionais;36.286.135;9.120,4;71,9%;31,3%
Mercados Emergentes;10.034.986;2488,7;19,9%;18,8%
Países Produtores;4.121.781;905,6;8,2%;29,9%
