Países;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;TOTAL
E.U.A.;691929;682240;670583;628173;804557;510548;530636;562723;705489;761595;885498;704193;8138164
ALEMANHA;702047;540509;494641;622822;600037;499952;569856;545248;787664;1351947;530415;346923;7592061
BELGICA;415600;280564;584844;395809;436005;351173;249513;219637;390249;319689;440484;296565;4380132
ITALIA;200312;286608;463127;367149;349999;260739;290582;375354;434444;313921;374080;198878;3915193
JAPAO;214618;246058;152695;202829;167921;178879;144637;138357;198233;197729;211961;162883;2216800
ESPANHA;75626;73038;135021;153055;215186;128881;150948;145382;155124;98872;191969;90232;1613334
PAISES BAIXOS (HOLANDA);149394;90254;107314;186406;149286;116414;98395;113975;149668;170078;120344;139335;1590863
MEXICO;150397;75193;92559;46387;106071;83669;81112;132089;74254;201928;253800;206263;1503722
TURQUIA;80229;107860;147203;139760;124987;77727;81526;125755;115265;145619;195115;155382;1496428
RUSSIAN FEDERATION;71943;48661;76229;78751;104641;90127;127578;109546;163554;191917;127436;182025;1372408
REINO UNIDO;75383;113987;205390;158446;112368;95112;71561;61654;57992;83488;76822;67358;1179561
COREIA DO SUL (REPUBL.);64388;76422;111374;96814;88168;105903;97261;65142;76463;107837;71441;94365;1055578
CANADA;78401;86251;73016;84842;98129;65002;67358;87276;138383;44752;127048;95681;1046139
CHINA;173604;84605;48804;71363;73068;64199;53632;35351;36471;78584;81568;137840;939089
VIETNAM;14582;11582;5613;56448;84953;153034;142392;77403;92205;67558;45881;55330;806981
SUECIA;92241;44467;56904;94063;54408;52624;78944;42034;48872;54265;47658;76249;742729
FRANCA;46712;45266;56287;108206;56458;49347;28055;40342;59112;76585;91863;50086;708319
GRECIA;30238;54781;56480;38992;43100;53043;55049;59195;40740;66217;79940;52055;629830
ARGENTINA;14514;36705;38653;53329;60582;34437;39342;46169;60789;78294;53792;52634;569240
ESLOVENIA;35323;21680;48439;27286;23541;34930;24025;70835;66418;38774;83265;48791;523307
AUSTRALIA;36353;36222;24542;36514;41489;24234;32895;27998;43860;36130;63439;50625;454301
COLOMBIA;60346;49178;73679;38763;62867;24223;34250;16649;16068;24886;17957;35053;453919
INDONESIA;28247;32530;26688;40470;38668;32729;43206;47768;21790;28375;51464;54920;446855
POLONIA;31201;41241;20879;29983;43930;26868;45219;41344;37526;47134;41531;38406;445262
FINLANDIA;59136;52008;49051;21678;25270;8358;28995;16200;36720;70757;21447;43691;433311
LIBANO;11774;33788;44832;12622;26997;42710;36508;39494;50353;38891;49282;31182;418433
EMIR.ARABES UNIDOS;34115;34129;32801;40848;35738;44497;30542;30877;30483;19772;44271;35356;413429
MALASIA;41019;28562;33051;19085;25360;23528;26157;22667;26121;43083;27983;27514;344130
JORDANIA;14072;32663;24466;33370;7036;26565;37278;24392;23279;19918;44504;14827;302370
INDIA;0;0;8000;7112;29416;14436;36353;45294;54285;31040;27447;30825;284208
ESTONIA;25038;8489;20309;25251;25724;26755;25574;20008;28728;23438;32508;11766;273588
CHILE;26266;25766;22053;11391;16670;13731;22644;22135;22300;19143;9266;37397;248762
ARABIA SAUDITA;12754;11369;25487;28908;22540;21664;19055;22146;26686;27708;19128;10520;247965
TAIWAN;33642;24841;20678;12653;10722;19602;24759;11214;21082;17844;27211;21514;245762
TUNISIA;250;399;23588;19733;8897;8325;16943;34240;17160;46214;44224;1917;221890
EQUADOR;7988;10194;25775;40805;14261;15301;44385;8592;23776;8732;2972;10207;212988
