Unidades Receita Federal;Volume Despacho;Part.(%);Volume Embarque;Part.(%)
SANTOS/SP; 30.283.370 ;60,0; 34.277.215 ;68,0
RIO DE JANEIRO; 8.302.146 ;16,5; 14.075.399 ;27,9
RIO DE JANEIRO/RJ; 7.532.889 ;14,9; 11.943.692 ;23,7
ITAJAÍ-SEPETIBA/RJ; 769.257 ;1,5; 2.131.707 ;4,2
VITÓRIA/ES; 8.154.016 ;16,2; 474.222 ;0,9
PARANAGUÁ/PR; 331.251 ;0,7; 331.251 ;0,7
SALVADOR/BA; 242.880 ;0,5; 215.403 ;0,4
REDEX e EADI (MINAS GERAIS); 1.817.664 ;3,6; -   ; - 
RODOVIÁRIO; 663.895 ;1,3; 713.910 ;1,4
OUTROS; 647.815 ;1,3; 355.637 ;0,7
TOTAL; 50.443.037 ; 100,0 ; 50.443.037 ; 100,0 
