Produtos Agrícolas;Novembro Área (ha);Dezembro Área (ha);Var % Área (ha);Novembro Produção (t);Dezembro Produção (t);Var % Produção (t);Novembro Rendimento Médio (kg/ha);Dezembro Rendimento Médio (kg/ha);Var % Rendimento Médio (kg/ha)
TOTAL;94 083 794;94 072 411;-0.0;--;--;--;--;--;--
ALGODÃO HERBÁCEO (em caroço);2 029 423;2 027 769;-0.1;8 879 672;8 866 378;-0.1;4 375;4 372;-0.1
AMENDOIM (em casca) - TOTAL;273 002;277 556;1.7;786 261;793 832;1.0;2 880;2 860;-0.7
AMENDOIM (em casca) 1ª safra;264 438;269 219;1.8;771 349;780 032;1.1;2 917;2 897;-0.7
AMENDOIM (em casca) 2ª safra;8 564;8 337;-2.7;14 912;13 800;-7.5;1 741;1 655;-4.9
ARROZ (em casca);1 571 050;1 573 503;0.2;10 596 411;10 591 604;-0.0;6 745;6 731;-0.2
AVEIA (em grão);517 530;513 979;-0.7;1 173 164;1 059 343;-9.7;2 267;2 061;-9.1
BANANA;458 048;461 153;0.7;6 997 730;6 995 034;-0.0;15 277;15 169;-0.7
BATATA-INGLESA - TOTAL;134 339;138 230;2.9;4 477 946;4 507 809;0.7;33 333;32 611;-2.2
BATATA-INGLESA 1ª safra ;59 260;58 655;-1.0;1 748 170;1 745 460;-0.2;29 500;29 758;0.9
BATATA-INGLESA 2ª safra;41 760;46 186;10.6;1 496 952;1 527 003;2.0;35 847;33 062;-7.8
BATATA-INGLESA 3ª safra;33 319;33 389;0.2;1 232 824;1 235 346;0.2;37 001;36 999;-0.0
CACAU (em amêndoa);632 147;632 466;0.1;284 136;287 784;1.3;449;455;1.3
CAFÉ (em grão) - TOTAL;1 956 837;1 955 136;-0.1;3 430 725;3 425 399;-0.2;1 753;1 752;-0.1
CAFÉ (em grão) - ARÁBICA;1 551 522;1 549 490;-0.1;2 407 144;2 401 279;-0.2;1 551;1 550;-0.1
CAFÉ (em grão) - CANEPHORA;405 315;405 646;0.1;1 023 581;1 024 120;0.1;2 525;2 525;0.0
CANA-DE-AÇÚCAR;9 160 432;9 219 524;0.6;703 751 490;706 720 425;0.4;76 825;76 655;-0.2
CASTANHA-DE-CAJU;448 765;450 054;0.3;151 569;161 014;6.2;338;358;5.9
CEVADA (em grão);117 643;117 353;-0.2;427 268;416 239;-2.6;3 632;3 547;-2.3
FEIJÃO (em grão) - TOTAL;2 743 440;2 732 659;-0.4;3 121 123;3 099 161;-0.7;1 138;1 134;-0.4
FEIJÃO (em grão) 1ª safra;1 255 648;1 250 982;-0.4;902 872;894 234;-1.0;719;715;-0.6
FEIJÃO (em grão) 2ª safra;1 206 490;1 193 804;-1.1;1 421 431;1 395 083;-1.9;1 178;1 169;-0.8
FEIJÃO (em grão) 3ª safra;281 302;287 873;2.3;796 820;809 844;1.6;2 833;2 813;-0.7
FUMO (em folhas);332 215;329 677;-0.8;626 926;626 649;-0.0;1 887;1 901;0.7
LARANJA;547 385;524 086;-4.3;13 145 382;12 216 934;-7.1;24 015;23 311;-2.9
MAMONA (baga);52 565;52 565;0.0;31 714;31 717;0.0;603;603;0.0
MANDIOCA;1 217 361;1 231 516;1.2;18 809 729;19 059 194;1.3;15 451;15 476;0.2
MILHO (em grão) - TOTAL;21 420 721;21 351 224;-0.3;115 543 617;114 703 192;-0.7;5 394;5 372;-0.4
MILHO (em grão) 1ª safra;4 664 036;4 676 634;0.3;22 803 372;22 912 466;0.5;4 889;4 899;0.2
MILHO (em grão) 2ª safra;16 756 685;16 674 590;-0.5;92 740 245;91 790 726;-1.0;5 535;5 505;-0.5
SOJA (em grão);45 984 177;46 036 036;0.1;144 870 682;144 946 662;0.1;3 150;3 149;-0.0
SORGO (em grão);1 336 561;1 330 201;-0.5;4 058 915;3 985 503;-1.8;3 037;2 996;-1.4
TOMATE;58 143;61 686;6.1;4 295 921;4 666 924;8.6;73 885;75 656;2.4
TRIGO (em grão);2 991 903;2 956 080;-1.2;8 143 189;7 530 249;-7.5;2 722;2 547;-6.4
TRITICALE (em grão);18 387;17 507;-4.8;47 689;43 729;-8.3;2 594;2 498;-3.7
UVA;81 720;82 451;0.9;1 741 961;1 763 397;1.2;21 316;21 387;0.3
;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Dez/2024;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;
